specimen_id,source,accession_or_record_id,license_or_terms,taxon,anatomical_structure,notes
129S1_SVIMJ,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
129X1_SVJ,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
AKR_J,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
A_J,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
B6129PF1,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
B6129SF1,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
B6AF1_J,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
B6C3F1,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
B6CBAF1,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
B6D2F1_J,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
B6FVBF1,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
B6SJLF1,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
BALB_CBYJ,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
BALB_CJ,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
BTBR_T_Itpr3tf_j,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
BUB,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
C3D2F1,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
C3H_HEJ,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
C3H_HEOUJ,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
C3HeB,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
C57BL6_J,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
C57BLKS,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
C57BL_10J,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
C57BL_6NJ,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
C57L_J,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
CAF1_J,"SlicerMorph/Mouse_Models (GitHub; Zenodo 5816099)",na,na,Mus musculus,cranium,"strain listed in Mouse_Models repository"
