specimen_id,source,accession_or_record_id,license_or_terms,taxon,anatomical_structure,notes,order,family,genus,species
A001,"Boyer et al. 2011 PNAS Supplementary Table 1 DOI:10.1073/pnas.1112822108","YPM 30440",na,"Adapis parisiensis","second mandibular molar","dataset A; unworn specimen",Euprimates,Adapidae,Adapis,"Adapis parisiensis"
A002,"Boyer et al. 2011 PNAS Supplementary Table 1 DOI:10.1073/pnas.1112822108","Qu 10966",na,"Adapis parisiensis","second mandibular molar","dataset A; unworn specimen",Euprimates,Adapidae,Adapis,"Adapis parisiensis"
A003,"Boyer et al. 2011 PNAS Supplementary Table 1 DOI:10.1073/pnas.1112822108","Q. I. 71",na,"Adapis parisiensis","second mandibular molar","dataset A; unworn specimen",Euprimates,Adapidae,Adapis,"Adapis parisiensis"
A004,"Boyer et al. 2011 PNAS Supplementary Table 1 DOI:10.1073/pnas.1112822108","Qu 11117",na,"Adapis parisiensis","second mandibular molar","dataset A; unworn specimen",Euprimates,Adapidae,Adapis,"Adapis parisiensis"
A005,"Boyer et al. 2011 PNAS Supplementary Table 1 DOI:10.1073/pnas.1112822108","PSS 7/20-8",na,"Altanius orlovi","second mandibular molar","dataset A; unworn specimen",Euprimates,"Incertae sedis",Altanius,"Altanius orlovi"
A006,"Boyer et al. 2011 PNAS Supplementary Table 1 DOI:10.1073/pnas.1112822108","PSS 20-58",na,"Altanius orlovi","second mandibular molar","dataset A; unworn specimen",Euprimates,"Incertae sedis",Altanius,"Altanius orlovi"
A007,"Boyer et al. 2011 PNAS Supplementary Table 1 DOI:10.1073/pnas.1112822108","MNHN Av 4854",na,"Donrussellia gallica","second mandibular molar","dataset A; unworn specimen",Euprimates,Cercamonaiidae,Donrussellia,"Donrussellia gallica"
A008,"Boyer et al. 2011 PNAS Supplementary Table 1 DOI:10.1073/pnas.1112822108","MNHN Av 7655",na,"Donrussellia gallica","second mandibular molar","dataset A; unworn specimen",Euprimates,Cercamonaiidae,Donrussellia,"Donrussellia gallica"
A009,"Boyer et al. 2011 PNAS Supplementary Table 1 DOI:10.1073/pnas.1112822108","MNHN Ri 170",na,"Donrussellia provincialis","second mandibular molar","dataset A; unworn specimen",Euprimates,Cercamonaiidae,Donrussellia,"Donrussellia provincialis"
A010,"Boyer et al. 2011 PNAS Supplementary Table 1 DOI:10.1073/pnas.1112822108","CAB 04-274",na,"Cantius torresi","second mandibular molar","dataset A; unworn specimen",Euprimates,Notharctidae,Cantius,"Cantius torresi"
A011,"Boyer et al. 2011 PNAS Supplementary Table 1 DOI:10.1073/pnas.1112822108","UM 101958",na,"Cantius torresi","second mandibular molar","dataset A; unworn specimen",Euprimates,Notharctidae,Cantius,"Cantius torresi"
A012,"Boyer et al. 2011 PNAS Supplementary Table 1 DOI:10.1073/pnas.1112822108","UM 101958",na,"Cantius torresi","second mandibular molar","dataset A; unworn specimen",Euprimates,Notharctidae,Cantius,"Cantius torresi"
A013,"Boyer et al. 2011 PNAS Supplementary Table 1 DOI:10.1073/pnas.1112822108","UM 87852",na,"Cantius torresi","second mandibular molar","dataset A; unworn specimen",Euprimates,Notharctidae,Cantius,"Cantius torresi"
A014,"Boyer et al. 2011 PNAS Supplementary Table 1 DOI:10.1073/pnas.1112822108","CL 457",na,"Teilhardina belgica","second mandibular molar","dataset A; unworn specimen",Euprimates,Omomyidae,Teilhardina,"Teilhardina belgica"
A015,"Boyer et al. 2011 PNAS Supplementary Table 1 DOI:10.1073/pnas.1112822108","CL 455",na,"Teilhardina belgica","second mandibular molar","dataset A; unworn specimen",Euprimates,Omomyidae,Teilhardina,"Teilhardina belgica"
A016,"Boyer et al. 2011 PNAS Supplementary Table 1 DOI:10.1073/pnas.1112822108","IRSNB 4291",na,"Teilhardina belgica","second mandibular molar","dataset A; unworn specimen",Euprimates,Omomyidae,Teilhardina,"Teilhardina belgica"
A017,"Boyer et al. 2011 PNAS Supplementary Table 1 DOI:10.1073/pnas.1112822108","IRSNB M65",na,"Teilhardina belgica","second mandibular molar","dataset A; unworn specimen",Euprimates,Omomyidae,Teilhardina,"Teilhardina belgica"
A018,"Boyer et al. 2011 PNAS Supplementary Table 1 DOI:10.1073/pnas.1112822108","IRSNB M64",na,"Teilhardina belgica","second mandibular molar","dataset A; unworn specimen",Euprimates,Omomyidae,Teilhardina,"Teilhardina belgica"
A019,"Boyer et al. 2011 PNAS Supplementary Table 1 DOI:10.1073/pnas.1112822108","WL 128",na,"Teilhardina belgica","second mandibular molar","dataset A; unworn specimen",Euprimates,Omomyidae,Teilhardina,"Teilhardina belgica"
A020,"Boyer et al. 2011 PNAS Supplementary Table 1 DOI:10.1073/pnas.1112822108","WL 159",na,"Teilhardina belgica","second mandibular molar","dataset A; unworn specimen",Euprimates,Omomyidae,Teilhardina,"Teilhardina belgica"
A021,"Boyer et al. 2011 PNAS Supplementary Table 1 DOI:10.1073/pnas.1112822108","IRSNB 4296",na,"Teilhardina belgica","second mandibular molar","dataset A; unworn specimen",Euprimates,Omomyidae,Teilhardina,"Teilhardina belgica"
